LSOA code (2011),Index of Multiple Deprivation ,Income Decile ,Employment Decile ,"Education, Skills and Training Decile ",Health Deprivation and Disability Decile ,Crime Decile ,Barriers to Housing and Services Decile ,Living Environment Decile 
E01001307,8,7,9,7,10,6,3,3
E01001308,7,7,10,8,10,6,2,4
E01001309,6,6,8,7,9,4,2,3
E01001310,5,4,6,6,8,6,2,4
E01001311,3,2,3,4,6,6,1,6
E01001312,6,5,7,7,9,6,2,3
E01001313,7,6,8,7,9,6,2,4
E01001314,8,7,9,8,9,7,2,4
E01001315,5,5,6,6,8,5,1,5
E01001316,3,2,3,5,5,4,1,4
E01001317,4,3,4,4,6,5,1,4
E01001318,2,2,3,4,4,2,1,5
E01001319,5,5,6,5,8,7,1,4
E01001320,2,1,1,3,5,3,1,6
E01001321,4,4,3,5,7,3,1,4
E01001322,4,4,4,7,8,2,2,3
E01001323,4,5,5,7,8,1,2,2
E01001324,2,3,4,6,5,2,1,3
E01001325,3,3,4,4,6,3,2,5
E01001326,3,3,4,5,6,2,1,3
E01001327,3,3,3,5,6,2,1,4
E01001328,2,3,4,4,5,2,1,4
E01001329,4,3,5,5,6,3,2,5
E01001330,2,1,2,4,5,2,1,3
E01001331,2,2,2,3,4,3,1,4
E01001332,2,2,2,4,3,4,1,4
E01001333,2,2,3,3,4,1,1,2
E01001334,2,1,2,3,4,5,1,4
E01001335,5,4,5,8,7,3,2,2
E01001336,4,3,4,6,6,5,1,3
E01001337,2,3,3,6,4,1,1,4
E01001338,3,4,3,6,5,6,1,3
E01001339,2,2,2,5,5,5,1,5
E01001340,2,2,1,4,4,3,1,6
E01001341,7,6,9,6,9,8,2,3
E01001342,6,6,8,7,9,8,2,2
E01001343,6,5,6,6,9,7,2,4
E01001344,5,4,5,8,9,8,1,6
E01001345,6,5,6,6,8,8,2,4
E01001346,7,6,8,8,10,8,4,3
E01001347,5,5,8,6,9,6,1,3
E01001348,5,4,7,8,8,4,2,2
E01001349,2,3,3,5,4,1,1,4
E01001350,6,6,6,10,7,5,2,3
E01001351,3,3,4,9,5,1,2,2
E01001352,6,5,8,10,9,4,3,2
E01001353,4,4,5,7,6,4,1,2
E01001354,4,5,6,8,3,2,3,2
E01001355,4,4,4,8,4,4,2,2
E01001356,1,1,1,3,4,4,1,5
E01001357,2,1,2,7,4,2,1,3
E01001358,1,1,2,4,5,5,1,2
E01001359,4,4,5,4,6,4,1,4
E01001360,3,4,5,4,6,1,1,3
E01001361,2,3,4,3,6,1,1,2
E01001362,3,4,4,3,5,4,1,3
E01001363,4,4,5,3,7,3,1,4
E01001364,2,1,2,4,3,3,1,5
E01001365,3,4,4,4,4,6,1,4
E01001366,3,3,3,4,5,6,1,4
E01001367,3,3,5,3,7,3,1,3
E01001368,3,3,3,4,6,2,1,4
E01001369,4,4,5,4,7,4,1,3
E01001370,4,4,5,3,6,2,1,4
E01001371,3,3,4,3,6,4,1,4
E01001372,3,3,3,3,6,5,1,5
E01001373,4,3,5,3,5,5,1,3
E01001374,8,7,8,10,8,6,3,4
E01001375,10,10,10,10,10,5,6,5
E01001376,4,3,3,7,6,6,2,5
E01001377,9,9,10,10,10,5,4,2
E01001379,9,9,10,10,9,7,5,3
E01001380,7,6,9,10,9,6,2,3
E01001381,5,5,6,9,8,6,3,2
E01001382,9,10,10,10,9,5,5,2
E01001383,7,7,8,10,7,7,4,3
E01001384,8,7,8,10,9,6,5,3
E01001385,9,8,9,10,10,5,5,3
E01001386,8,8,8,10,9,6,4,3
E01001387,6,7,7,10,7,5,3,1
E01001388,2,2,2,7,4,1,2,2
E01001389,5,4,7,9,7,2,3,1
E01032572,6,5,8,9,7,2,3,4
E01032743,3,3,3,6,6,5,1,5
E01032744,2,2,4,5,3,1,1,4
E01001390,8,7,9,10,10,6,3,5
E01001391,4,4,5,6,7,4,1,3
E01001392,8,7,9,9,10,7,3,2
E01001393,5,5,6,8,7,5,2,2
E01001394,3,2,5,6,8,3,1,2
E01001395,2,2,2,4,7,3,1,5
E01001396,5,4,7,7,9,3,2,3
E01001397,4,3,4,6,9,4,1,3
E01001398,8,7,8,9,9,7,5,3
E01001399,8,7,8,7,9,5,4,5
E01001400,8,7,7,9,9,8,3,5
E01001401,7,7,8,7,10,4,4,3
E01001402,8,7,8,9,10,7,4,6
E01001403,6,6,7,6,9,6,2,4
E01001404,5,5,6,6,8,4,1,5
E01001405,7,6,8,9,7,7,2,6
E01001406,4,4,4,6,6,4,2,3
E01001407,5,5,6,6,9,2,2,4
E01001408,6,5,6,8,8,6,4,1
E01001409,2,2,3,4,7,4,1,2
E01001410,1,1,2,2,3,5,1,4
E01001411,7,5,7,8,9,6,4,4
E01001412,3,4,5,5,9,2,1,3
E01001413,9,8,9,9,9,7,3,6
E01001414,2,1,2,2,5,7,1,2
E01001415,6,4,8,8,9,4,2,6
E01001416,9,8,10,9,10,8,4,4
E01001417,9,10,10,9,10,8,1,7
E01001418,5,4,4,8,7,5,2,6
E01001419,6,5,6,9,9,4,2,5
E01001420,4,4,4,5,6,6,1,4
E01001421,3,3,4,6,7,6,1,4
E01001422,9,10,10,10,10,9,1,8
E01001423,3,2,3,3,7,3,1,3
E01001424,1,1,2,4,4,2,1,4
E01001425,1,1,2,2,6,1,1,2
E01001426,2,2,3,2,4,1,1,4
E01001427,2,1,2,2,6,3,1,4
E01001428,2,2,2,2,6,4,1,3
E01001429,1,1,2,2,4,1,1,2
E01001430,2,1,2,2,6,3,1,3
E01001431,2,1,2,3,6,3,1,2
E01001432,2,2,3,3,6,2,1,1
E01001433,2,2,3,2,6,5,1,4
E01001434,3,3,5,3,7,4,1,4
E01001435,4,3,5,3,8,2,2,3
E01001436,3,2,3,4,7,4,2,4
E01001437,2,1,2,3,5,7,1,2
E01001438,2,2,3,3,7,2,1,3
E01001439,2,2,3,3,7,3,1,4
E01001440,3,2,3,3,8,2,1,4
E01001441,2,2,3,3,6,2,1,4
E01001442,1,1,2,2,3,4,1,2
E01001444,4,4,6,4,8,4,1,3
E01001445,3,2,4,4,8,5,1,2
E01001446,3,3,4,3,8,5,2,2
E01001447,2,1,2,3,5,5,1,5
E01001448,3,2,3,4,7,5,1,4
E01001449,3,2,4,3,8,5,1,6
E01001450,5,4,6,6,8,4,1,4
E01001451,6,7,8,9,10,1,1,4
E01001452,7,8,8,9,10,6,2,4
E01001453,9,10,10,10,10,9,2,6
E01001454,8,8,9,10,10,8,2,4
E01001455,8,7,8,7,9,9,2,6
E01001456,10,8,10,10,10,8,5,5
E01001457,7,6,6,8,8,9,1,6
E01001458,2,1,2,2,5,4,1,4
E01001459,4,3,4,4,9,4,2,5
E01001460,2,2,3,2,6,3,1,2
E01001461,2,1,2,2,6,4,1,4
E01001462,2,2,3,4,8,3,1,3
E01001463,4,3,5,4,8,5,1,5
E01001464,2,1,2,2,5,5,1,4
E01001465,4,4,5,4,9,5,1,3
E01001466,3,2,5,3,8,4,1,2
E01001467,4,3,5,4,9,5,1,2
E01001468,3,4,2,7,4,5,1,8
E01001469,4,4,4,5,8,8,1,7
E01001470,8,7,7,9,10,8,2,7
E01001471,6,5,6,8,9,8,1,5
E01001472,7,5,7,8,10,8,1,6
E01001473,6,5,5,6,8,7,2,7
E01001474,7,7,7,10,10,7,1,7
E01001475,9,8,9,9,10,9,4,5
E01001476,3,2,4,3,8,4,2,4
E01001477,2,2,2,3,6,4,1,4
E01001478,4,4,4,4,5,4,1,4
E01001479,2,2,4,3,6,3,1,2
E01001480,3,3,4,5,5,4,1,3
E01001481,4,3,4,4,7,5,1,3
E01001482,2,2,2,3,7,3,1,2
E01001483,1,1,1,2,4,3,1,2
E01001484,4,4,5,4,8,3,2,3
E01001485,2,2,3,3,7,2,1,2
E01001486,2,1,2,2,6,4,1,4
E01001487,2,2,3,3,6,4,1,3
E01001488,3,2,4,3,8,3,1,3
E01001489,3,3,3,3,7,3,1,3
E01001491,3,2,3,4,7,3,1,2
E01001492,3,2,3,3,7,2,1,3
E01001493,3,3,3,4,6,7,1,5
E01001494,6,5,7,6,8,7,2,5
E01001495,7,6,8,9,9,5,3,3
E01001496,6,5,7,8,9,6,2,4
E01001497,4,3,5,6,8,4,1,4
E01001498,6,5,7,8,9,5,2,2
E01001499,4,3,5,6,7,4,1,3
E01001500,5,5,6,7,8,3,2,3
E01001501,4,3,5,7,6,3,1,2
E01001502,3,3,4,3,8,3,1,3
E01001503,3,2,5,3,7,3,1,3
E01001504,3,3,3,3,7,3,1,3
E01001505,2,2,3,3,6,4,1,3
E01001506,2,2,3,3,5,2,1,3
E01001507,2,2,2,3,7,2,1,3
E01001508,3,2,4,4,7,3,1,3
E01001509,2,2,3,3,9,4,1,2
E01001510,1,1,1,2,3,3,1,1
E01001511,4,4,5,6,8,2,3,3
E01001512,5,5,6,7,9,6,2,3
E01001513,2,2,3,4,6,3,1,4
E01001514,4,4,5,5,8,6,2,3
E01001515,2,2,3,3,5,6,1,2
E01001516,3,3,3,4,7,5,1,4
E01001517,1,1,1,1,4,3,1,6
E01001518,4,4,5,8,7,2,2,2
E01001519,7,5,8,9,10,8,2,5
E01001520,6,5,5,8,9,7,1,6
E01001521,8,8,9,10,10,7,2,5
E01001522,7,5,7,6,9,8,2,8
E01001523,8,7,9,9,10,6,3,6
E01001524,5,4,4,6,8,8,1,5
E01001525,6,5,6,9,8,5,2,3
E01001526,8,8,9,9,10,9,1,7
E01001527,6,6,7,9,9,4,2,3
E01001528,2,2,3,3,6,4,1,3
E01001529,3,2,3,5,4,3,1,4
E01001530,5,4,5,8,9,3,1,3
E01001531,9,9,9,10,10,7,2,4
E01001532,9,8,9,10,10,7,3,4
E01001533,9,8,9,10,9,8,5,5
E01001534,8,8,9,9,10,3,2,5
E01001535,6,6,8,9,9,2,2,4
E01001536,5,5,5,8,8,3,3,3
E01001537,7,6,8,8,9,8,2,5
E01001538,8,8,7,7,9,7,3,5
E01001539,6,5,6,8,8,5,4,4
E01001540,6,5,6,8,8,7,3,3
E01001541,8,8,8,8,9,7,5,4
E01001542,5,4,5,6,9,8,2,5
E01001543,8,7,9,7,9,9,3,6
E01001544,8,7,7,9,9,8,4,6
E01001545,1,1,2,2,4,2,1,6
E01001546,3,3,4,3,5,6,2,4
E01001547,3,3,4,3,8,3,1,3
E01001548,3,2,4,3,8,3,1,4
E01001549,2,1,2,2,7,3,1,3
E01001550,2,2,3,3,5,4,1,4
E01001551,2,2,2,2,5,2,1,3
E01001552,4,4,5,4,8,3,1,2
E01001553,2,2,2,2,6,4,1,4
E01001554,2,1,2,2,6,1,1,4
E01001555,2,2,3,3,8,1,1,3
E01001556,5,4,6,5,9,7,2,3
E01001557,3,2,4,3,7,3,1,4
E01001558,2,2,3,3,6,1,1,1
E01001559,2,2,3,3,5,2,1,1
E01001560,2,3,4,3,7,2,1,3
E01001562,1,1,2,2,2,6,1,2
E01001563,6,5,7,9,8,6,3,2
E01001564,8,7,8,10,8,6,3,5
E01001565,6,5,6,9,9,6,1,4
E01001566,7,6,6,10,7,7,3,4
E01001567,9,10,10,10,10,9,2,6
E01001568,8,9,8,9,10,5,2,5
E01001569,8,7,7,8,10,7,3,5
E01001570,5,5,6,7,8,5,2,5
E01032574,3,3,4,3,6,2,1,3
E01033146,2,2,3,3,6,5,1,4
E01033148,2,1,3,3,8,5,1,6
E01033150,3,2,4,5,8,6,1,4
E01033151,2,1,2,3,6,4,1,5
E01001571,5,5,6,6,5,3,5,3
E01001572,6,5,7,7,8,5,4,3
E01001573,6,6,8,6,7,3,5,3
E01001574,2,2,2,3,3,3,1,6
E01001575,1,1,1,4,1,2,2,5
E01001576,2,1,2,3,3,2,2,6
E01001577,2,2,3,5,4,1,2,4
E01001578,3,3,4,5,6,2,2,4
E01001579,2,2,2,4,3,2,1,5
E01001580,8,8,9,10,10,2,4,4
E01001581,5,4,5,9,5,3,4,4
E01001582,4,4,4,7,6,1,3,4
E01001583,7,8,8,10,9,4,2,3
E01001584,8,8,9,9,9,7,3,5
E01001585,7,7,7,10,6,5,4,4
E01001586,4,4,4,8,6,2,2,4
E01001587,7,7,7,10,8,6,2,4
E01001588,2,3,3,6,4,1,1,3
E01001589,3,3,3,5,6,3,2,3
E01001590,5,4,5,8,7,3,4,3
E01001591,3,2,3,5,3,4,2,6
E01001592,6,6,7,9,7,4,5,2
E01001593,7,8,7,10,7,5,6,2
E01001594,2,1,2,5,3,5,2,5
E01001595,4,3,5,5,7,3,2,5
E01001596,8,8,8,6,8,7,5,7
E01001597,6,6,6,8,7,3,4,5
E01001598,7,6,7,7,8,3,4,6
E01001599,6,6,5,4,7,3,5,5
E01001600,7,6,6,7,8,5,4,6
E01001601,8,7,8,7,7,7,4,6
E01001602,3,2,2,3,3,2,4,5
E01001603,2,2,2,3,3,3,3,6
E01001604,7,7,7,9,7,4,6,3
E01001605,9,10,9,7,9,7,5,6
E01001606,9,9,9,8,9,8,7,4
E01001607,5,5,5,7,7,4,6,2
E01001608,6,8,8,10,8,5,1,5
E01001609,4,4,3,9,5,2,4,4
E01001610,7,6,7,7,7,7,4,4
E01001611,5,5,5,5,6,7,4,3
E01001613,5,4,4,7,7,3,4,5
E01001614,9,9,9,7,9,3,6,5
E01001615,5,5,6,7,6,2,3,4
E01001617,8,8,9,7,9,5,5,6
E01001618,4,4,4,4,5,3,4,5
E01001619,6,5,7,6,6,6,6,4
E01001620,3,3,3,3,3,3,2,5
E01001621,3,3,3,4,5,2,3,2
E01001623,4,5,5,4,6,2,1,4
E01001624,4,4,3,4,5,3,4,4
E01001625,2,2,2,2,4,2,1,3
E01001629,3,2,3,4,6,4,1,6
E01001631,2,2,2,5,4,5,2,5
E01001632,5,4,6,6,7,6,2,4
E01001633,2,2,2,4,3,3,2,6
E01001634,2,1,1,3,3,3,2,6
E01001635,4,4,5,6,5,2,3,3
E01001636,4,3,3,6,4,7,2,3
E01001637,3,3,4,5,5,4,2,3
E01001638,3,2,4,6,3,5,1,5
E01001640,3,2,4,6,3,2,2,5
E01001641,6,6,7,10,8,2,4,2
E01001642,7,9,10,10,10,1,6,2
E01001644,6,5,7,8,7,3,4,2
E01001645,3,3,3,5,4,3,3,6
E01001646,4,3,4,6,5,6,1,6
E01001647,4,5,5,7,7,1,2,4
E01001648,5,5,6,7,7,2,2,6
E01001649,2,2,2,4,5,2,1,3
E01001650,3,3,2,4,4,3,2,4
E01001651,2,2,2,3,3,1,1,5
E01001652,6,5,7,8,6,2,5,3
E01001653,2,1,2,2,4,4,1,5
E01001654,2,2,2,3,4,3,1,4
E01001655,2,2,1,2,3,3,1,6
E01001656,5,4,4,8,6,6,3,6
E01001657,8,7,6,10,9,5,5,4
E01001658,5,4,6,7,8,5,1,5
E01001659,5,6,5,7,5,3,1,3
E01001660,2,3,3,4,5,2,1,5
E01001661,2,3,3,3,4,1,1,4
E01001662,4,4,6,9,7,1,5,1
E01001664,5,5,5,9,5,4,4,1
E01001665,6,6,7,9,6,2,3,2
E01001666,4,4,5,7,4,2,3,2
E01001667,2,2,2,4,2,1,2,3
E01001668,3,3,4,7,5,2,3,2
E01001669,3,3,2,5,7,3,3,4
E01001671,4,3,4,5,6,4,4,5
E01001672,3,3,5,5,7,2,1,3
E01001673,2,2,3,5,3,1,1,5
E01001674,4,4,5,5,9,3,2,3
E01001675,3,3,4,5,5,2,2,3
E01001676,3,3,3,5,4,4,2,5
E01001677,5,4,5,5,7,5,3,3
E01001678,7,6,7,6,7,7,5,3
E01001679,7,6,8,6,7,5,4,4
E01001680,8,8,9,9,9,4,4,6
E01001681,5,5,4,8,6,3,5,4
E01001682,5,5,5,9,5,3,3,4
E01001683,4,3,4,6,5,5,4,4
E01001684,4,3,3,5,6,3,3,6
E01001685,6,4,6,7,7,4,4,3
E01001686,5,3,5,7,6,5,3,4
E01001687,2,2,3,6,4,1,1,5
E01001688,3,3,4,7,2,5,2,5
E01001690,3,3,3,4,5,6,1,7
E01001692,3,2,3,4,5,6,1,7
E01001693,2,2,3,4,5,3,1,7
E01001694,4,3,5,6,5,3,2,6
E01001695,2,2,3,4,3,2,1,6
E01001696,2,2,3,3,3,1,2,4
E01001697,2,2,3,4,4,3,1,4
E01001698,3,2,3,5,6,3,2,6
E01001699,4,4,5,3,4,5,1,6
E01001700,3,2,4,4,4,3,1,4
E01001701,3,3,4,6,3,3,1,5
E01001702,2,1,2,4,4,4,1,6
E01001703,3,2,3,6,3,4,1,6
E01001704,4,4,4,6,5,3,3,4
E01001705,3,2,3,4,4,3,1,5
E01001706,2,1,2,3,3,2,1,6
E01001708,5,4,4,7,5,6,2,4
E01001709,2,1,3,4,3,3,1,5
E01001710,2,2,2,3,4,6,2,6
E01001711,3,3,6,8,4,4,1,1
E01001712,3,2,3,5,3,3,2,4
E01001713,2,1,2,5,4,3,2,3
E01032567,5,5,5,6,6,4,3,3
E01033726,2,2,3,4,5,2,2,2
E01033727,5,4,6,7,6,4,3,4
E01033728,8,8,10,9,8,6,3,5
E01033729,4,4,4,2,4,7,2,6
E01033730,6,5,8,8,7,4,1,4
E01033731,7,10,10,9,10,2,2,4
E01033732,4,4,6,10,4,1,1,4
E01033733,6,6,8,8,8,3,3,3
E01033734,6,6,7,5,6,9,1,5
E01033735,3,4,6,7,4,1,1,2
E01033736,8,10,10,8,7,3,2,6
E01033737,2,2,2,5,3,2,2,5
E01033738,4,5,6,6,7,2,4,1
E01033739,5,4,7,8,6,6,1,8
E01033740,5,4,5,9,7,3,2,7
E01033741,5,5,7,5,4,5,1,7
E01033742,7,7,9,8,7,6,1,7
E01033743,5,4,7,7,6,5,1,7
E01033744,3,3,3,5,2,4,1,7
E01033745,4,4,5,7,6,7,1,6
E01033746,4,4,5,8,7,3,4,1
E01001714,1,1,2,5,4,2,1,2
E01001715,3,4,5,8,5,2,1,2
E01001716,2,2,3,8,2,3,1,2
E01001717,3,3,4,7,4,5,1,4
E01001718,5,7,9,9,7,1,1,1
E01001719,2,2,3,6,2,5,1,4
E01001720,5,6,7,9,5,3,1,2
E01001722,3,2,3,5,5,3,1,4
E01001723,4,4,7,7,4,6,1,2
E01001724,4,4,6,9,4,5,1,1
E01001725,3,3,5,4,6,6,1,3
E01001726,3,2,4,3,3,7,1,4
E01001727,4,5,5,5,5,7,1,4
E01001728,3,2,4,2,6,6,1,3
E01001729,2,1,2,5,2,6,1,4
E01001730,1,1,2,4,4,2,1,2
E01001731,3,3,4,7,5,1,1,2
E01001732,2,1,2,4,4,3,1,3
E01001733,3,4,4,8,3,1,1,1
E01001734,2,3,4,8,3,1,1,2
E01001735,2,2,3,7,3,1,1,3
E01001736,5,4,5,10,5,4,1,4
E01001737,4,4,5,10,4,4,2,1
E01001738,4,4,5,9,4,4,1,3
E01001739,4,4,4,10,3,2,2,3
E01001740,1,1,2,4,2,2,1,4
E01001741,5,5,7,10,7,3,2,3
E01001742,3,3,4,8,2,3,1,4
E01001744,3,3,4,7,3,2,1,3
E01001745,2,1,3,6,3,4,1,4
E01001746,2,1,2,4,3,9,1,4
E01001747,3,3,5,8,2,1,1,3
E01001748,3,3,4,8,4,1,1,2
E01001749,3,4,4,9,3,2,1,1
E01001750,2,2,4,7,4,1,1,2
E01001751,5,8,9,10,7,2,3,1
E01001752,3,5,7,8,4,5,1,1
E01001753,2,2,3,4,4,3,1,3
E01001754,3,3,6,6,7,3,1,1
E01001755,2,2,2,5,2,3,1,3
E01001756,4,7,7,8,6,1,1,1
E01001757,3,2,3,5,4,5,1,4
E01001758,2,1,3,7,3,2,1,3
E01001759,3,3,4,8,4,3,1,3
E01001760,2,2,3,7,3,1,1,2
E01001761,1,1,2,7,1,2,1,2
E01001762,3,4,4,9,4,4,1,2
E01001763,4,4,7,7,7,4,1,2
E01001764,3,3,4,7,5,3,1,3
E01001765,2,1,2,4,2,4,1,4
E01001767,2,2,4,7,4,1,1,2
E01001768,4,4,5,8,6,4,1,2
E01001769,3,3,5,9,5,2,1,3
E01001770,2,2,3,5,3,2,1,4
E01001772,2,1,2,4,3,2,1,2
E01001773,2,2,3,6,3,1,1,2
E01001774,3,3,5,8,5,2,1,2
E01001775,2,2,3,6,2,2,1,3
E01001776,1,1,2,5,3,2,1,2
E01001777,2,3,4,7,3,1,1,2
E01001779,3,3,4,7,5,4,1,2
E01001780,2,2,3,6,4,1,1,2
E01001781,1,1,2,3,2,2,1,3
E01001782,5,4,6,8,8,6,1,2
E01001783,2,2,2,5,3,3,1,2
E01001784,3,3,6,6,5,5,1,2
E01001785,3,3,4,8,4,1,1,1
E01001786,2,1,2,4,5,3,1,4
E01001787,2,1,2,3,2,3,1,4
E01001788,2,1,1,4,2,4,1,5
E01001789,3,3,4,8,4,3,1,3
E01001790,1,1,1,5,2,6,1,4
E01001791,3,2,3,6,3,3,1,3
E01001792,3,3,4,7,4,1,1,2
E01001793,4,4,5,9,6,4,1,2
E01001794,4,4,6,8,5,2,1,1
E01001795,3,4,3,9,4,1,1,2
E01001796,3,4,5,8,5,4,1,1
E01001798,1,1,2,5,2,1,1,3
E01001799,4,4,5,3,6,6,1,1
E01001800,2,2,2,2,3,5,1,3
E01001801,3,2,4,6,3,6,1,2
E01001802,2,2,3,4,4,5,1,3
E01001803,6,7,7,10,5,7,2,3
E01001804,4,4,4,3,5,9,1,2
E01001805,3,4,5,10,5,1,1,1
E01001806,3,3,4,8,3,2,1,4
E01001807,3,3,4,6,6,5,1,2
E01001808,3,4,7,2,6,5,1,1
E01001809,3,4,6,2,7,5,1,2
E01001811,1,1,2,2,3,2,1,4
E01001812,3,3,3,4,5,3,1,4
E01001813,1,1,2,4,4,1,1,1
E01001814,3,3,4,5,3,3,1,1
E01001815,2,2,2,6,3,4,1,4
E01001816,4,3,5,8,4,2,1,3
E01001819,3,3,4,9,4,3,2,3
E01001820,2,1,2,5,3,3,1,3
E01001821,2,2,2,5,2,1,1,3
E01001822,1,1,1,3,3,2,1,4
E01001823,3,3,4,3,5,8,1,5
E01001824,2,3,3,2,5,4,1,3
E01001825,3,5,5,1,7,8,1,3
E01001826,2,2,3,2,3,7,1,4
E01001827,2,2,2,2,4,5,1,5
E01001828,2,2,2,5,4,4,1,5
E01001829,6,7,8,10,7,2,2,2
E01001830,3,3,3,7,3,3,1,3
E01001831,3,3,5,10,4,2,1,2
E01001832,3,4,5,8,4,2,1,2
E01001833,3,2,4,6,3,4,1,2
E01001834,3,3,4,8,3,3,1,2
E01001835,5,5,6,10,4,1,2,3
E01001836,4,3,4,7,5,3,1,3
E01001837,6,6,9,10,5,3,2,3
E01001838,1,1,2,3,3,3,1,4
E01001839,2,3,2,9,1,2,1,3
E01001840,2,2,2,5,2,2,1,4
E01001841,3,3,3,6,3,3,1,4
E01001842,2,1,2,6,3,2,1,3
E01001843,3,3,3,8,3,2,1,3
E01001844,3,4,5,8,5,2,1,2
E01001845,1,1,1,4,2,3,1,3
E01001846,1,2,2,5,2,1,1,4
E01001847,1,1,1,4,1,1,1,3
E01001848,2,2,3,5,2,1,1,2
E01001849,2,2,3,6,3,2,1,3
E01001850,2,1,2,4,3,3,1,3
E01033698,2,2,3,6,2,5,1,4
E01033699,2,4,5,7,3,1,1,3
E01033700,3,4,6,7,3,1,1,2
E01033701,1,1,2,3,4,2,1,1
E01033702,2,2,3,6,3,5,1,3
E01033703,2,2,3,7,3,2,1,3
E01033704,3,6,7,9,5,1,1,1
E01033705,3,3,3,4,4,4,1,4
E01033706,3,7,10,7,2,1,1,1
E01033707,3,3,5,9,3,1,1,2
E01033708,5,9,10,9,5,4,1,1
E01033709,2,4,5,7,4,1,1,1
E01033710,4,4,7,5,6,7,1,3
E01033711,4,9,10,6,6,5,1,1
E01033712,2,3,5,7,3,1,1,1
E01033713,2,3,4,7,3,1,1,2
E01001851,7,7,7,10,8,3,5,3
E01001852,6,5,7,9,7,4,3,2
E01001853,5,5,5,8,6,2,4,2
E01001854,5,4,5,10,6,4,3,2
E01001855,5,5,6,8,6,4,3,2
E01001856,3,2,3,8,3,3,2,2
E01001857,2,1,2,6,4,1,2,2
E01001858,3,3,3,8,3,2,3,1
E01001859,5,3,5,9,6,9,2,4
E01001860,3,2,3,6,5,2,2,3
E01001861,3,2,3,9,4,2,2,4
E01001862,3,2,2,6,3,3,3,3
E01001863,5,5,5,10,6,3,4,3
E01001864,3,3,3,9,2,3,3,2
E01001865,7,6,6,10,7,5,4,3
E01001866,7,7,8,10,9,2,4,2
E01001867,7,5,8,10,6,9,2,4
E01001868,2,2,2,4,5,2,1,2
E01001869,6,7,8,10,6,4,5,1
E01001870,6,6,6,9,5,8,2,2
E01001871,7,6,7,9,9,8,4,3
E01001872,6,6,7,10,7,5,2,2
E01001873,4,3,4,9,5,5,3,2
E01001874,4,4,5,7,3,7,1,3
E01001875,2,2,3,3,4,2,2,3
E01001876,2,2,3,6,2,4,1,3
E01001877,2,2,3,7,3,2,2,1
E01001878,2,2,2,3,3,5,2,3
E01001879,4,3,3,7,5,5,4,4
E01001880,5,3,6,8,5,3,3,4
E01001881,6,8,8,9,6,2,5,2
E01001882,7,7,7,10,8,4,5,2
E01001883,4,3,4,8,3,6,3,3
E01001884,4,4,5,9,3,2,3,1
E01001885,1,1,1,5,2,3,2,3
E01001886,4,3,4,8,4,3,3,3
E01001887,4,3,4,7,5,4,3,4
E01001888,8,7,8,10,8,6,5,3
E01001889,5,7,7,10,7,1,3,1
E01001890,7,8,9,10,8,7,1,2
E01001891,7,9,10,5,8,6,4,2
E01001892,3,3,3,6,4,6,2,3
E01001893,2,2,3,6,4,3,3,2
E01001894,3,2,3,6,4,4,2,2
E01001895,5,5,5,7,6,4,4,3
E01001896,4,4,5,9,6,3,2,3
E01001897,6,6,6,10,6,3,5,3
E01001898,4,4,5,7,4,5,3,2
E01001899,2,2,2,5,2,2,2,2
E01001900,2,2,2,7,1,4,3,1
E01001901,8,8,8,8,8,7,5,3
E01001902,6,6,7,7,5,7,4,4
E01001903,4,3,4,8,4,5,3,2
E01001904,8,9,10,9,9,5,6,2
E01001905,9,9,10,8,9,7,6,4
E01001906,8,8,9,9,8,5,6,3
E01001907,7,8,8,10,7,3,6,3
E01001908,6,6,8,9,5,4,2,2
E01001909,4,4,5,8,4,3,3,2
E01001910,5,5,6,10,6,7,2,1
E01001911,2,1,2,6,3,7,2,3
E01001912,2,2,2,5,3,3,2,3
E01001913,8,9,10,8,6,4,4,3
E01001914,5,5,5,8,5,4,2,3
E01001915,7,8,10,9,9,2,6,1
E01001916,9,10,10,10,10,5,5,3
E01001917,6,5,7,9,6,5,5,3
E01001918,8,7,8,10,7,5,6,4
E01001919,8,8,9,9,9,4,6,5
E01001920,3,3,2,8,3,3,3,2
E01001921,5,6,5,10,8,1,4,2
E01001922,7,8,9,9,10,2,6,3
E01001923,6,6,7,10,9,3,3,1
E01001924,8,10,10,10,10,3,5,2
E01001925,8,9,9,10,10,5,6,2
E01001926,9,10,10,10,9,5,7,3
E01001927,8,9,9,10,9,5,5,2
E01001928,5,4,5,10,6,2,4,2
E01001929,7,7,8,9,8,4,6,2
E01001930,3,3,3,10,2,3,3,1
E01001931,5,6,7,9,5,4,3,2
E01001932,4,4,5,10,5,1,1,2
E01001933,5,5,4,8,8,3,3,2
E01001934,4,2,3,7,7,8,2,6
E01001935,6,5,5,9,6,3,4,4
E01001937,7,8,8,9,8,3,5,2
E01001938,3,2,4,7,6,3,3,2
E01001939,5,3,5,6,7,5,3,4
E01001940,2,2,3,6,3,1,1,3
E01001941,3,4,3,9,3,2,2,2
E01001942,4,4,4,8,4,2,3,2
E01001943,3,3,3,9,4,1,1,1
E01001944,2,1,1,6,3,7,1,4
E01001945,4,3,4,9,5,2,4,2
E01001946,4,3,4,7,4,9,3,5
E01001947,2,1,2,5,3,4,2,4
E01001948,6,6,7,9,8,5,4,1
E01001949,9,9,10,10,9,5,5,3
