LSOA code (2011),Index of Multiple Deprivation ,Income Decile ,Employment Decile ,"Education, Skills and Training Decile ",Health Deprivation and Disability Decile ,Crime Decile ,Barriers to Housing and Services Decile ,Living Environment Decile 
E01000410,9,10,10,6,9,6,6,5
E01000411,8,8,8,5,9,7,6,4
E01000412,9,9,9,6,9,8,3,5
E01000413,8,8,8,4,9,6,5,5
E01000414,7,6,8,6,9,3,5,3
E01000415,9,9,9,6,10,7,8,6
E01000416,4,3,4,5,7,1,2,6
E01000417,5,5,5,5,7,4,2,5
E01000418,5,4,7,5,8,5,1,5
E01000419,8,9,9,7,9,7,5,5
E01000420,8,7,7,4,9,8,6,6
E01000421,9,9,8,7,8,8,5,7
E01000422,2,1,2,4,5,3,1,7
E01000423,10,9,9,7,10,9,7,5
E01000424,9,9,10,9,10,6,6,3
E01000425,9,9,9,8,8,10,4,7
E01000426,8,7,9,7,9,9,5,3
E01000427,7,6,6,6,9,8,3,6
E01000428,4,4,5,5,4,5,2,6
E01000429,2,2,2,3,3,2,1,6
E01000430,6,4,5,6,8,7,2,8
E01000431,2,2,2,3,4,3,1,5
E01000432,4,3,4,3,6,4,3,6
E01000433,2,2,2,3,3,3,2,5
E01000434,2,2,2,1,3,6,2,6
E01000435,3,2,3,3,6,3,1,5
E01000436,10,9,9,6,10,10,8,6
E01000437,7,6,7,5,7,6,5,6
E01000438,7,6,7,4,8,5,5,4
E01000439,4,3,4,3,7,3,6,3
E01000440,9,9,8,5,10,7,7,6
E01000441,3,2,3,3,4,4,4,6
E01000442,7,6,6,4,9,8,5,6
E01000443,5,5,4,5,6,7,3,4
E01000444,9,10,9,9,10,6,3,6
E01000445,10,10,10,7,10,8,5,7
E01000446,9,9,9,6,8,8,7,6
E01000447,8,7,8,8,8,4,6,4
E01000448,10,10,10,9,9,9,8,7
E01000449,10,10,10,9,9,5,7,7
E01000450,5,5,4,5,7,6,4,6
E01000451,9,9,9,5,9,9,6,5
E01000452,9,8,9,6,9,9,7,5
E01000453,9,8,9,5,10,8,8,5
E01000454,5,5,5,4,7,4,5,5
E01000455,9,9,9,6,9,7,7,5
E01000456,9,9,9,6,10,9,7,6
E01000457,7,6,8,6,8,5,4,5
E01000458,10,9,10,9,9,9,4,7
E01000459,6,5,6,7,7,6,4,7
E01000460,10,10,10,8,10,9,4,8
E01000461,9,9,9,8,10,7,3,7
E01000462,6,5,7,6,8,8,4,3
E01000463,10,10,9,7,9,9,7,6
E01000464,4,2,4,5,6,5,2,7
E01000465,3,2,3,4,5,6,2,8
E01000466,4,3,4,5,7,6,2,8
E01000467,5,4,5,6,8,6,2,7
E01000468,5,3,6,9,8,6,1,8
E01000469,5,4,5,7,7,4,2,7
E01000470,2,2,2,4,5,1,1,7
E01032566,4,3,3,4,7,2,3,5
E01000471,5,6,6,4,7,7,1,4
E01000472,4,4,8,6,8,5,1,2
E01000473,4,4,5,3,9,5,1,3
E01000474,4,5,6,3,9,8,1,5
E01000475,5,5,6,6,9,8,1,4
